2104	ST PROTECT S.P.A.
1811	NTP ITALIA S.R.L.
1716	VICENZA PUBBLICITA' S.R.L.
384	TESSITURA SARTORI C.E.
828	ROSVAL DI DALLA VALLE MARIA ROSA
852	CONF.ORIS S.N.C. DI BINOTTO ROBERTA & C.
1745	EMERALD S.R.L.
1785	LAB DI LOVISON RESI
1876	TULIPANO NERO S.R.L.
7	CLEANTEX S.R.L.
873	TONELLO S.R.L.
1349	LUIGI PARISOTTO
1935	GIANFORT S.R.L.
1267	MMANIFATTURE SRL
1342	STUDIO PROGETTO SOC.COOP.SOCIALE ONLUS
2103	SAC.SO S.N.C. DI DONA' SOFIA & C.
1231	SPINAZZE' SRL
2493	SELF MAGLIERIA S.R.L.
2222	F.LLI VILLA S.R.L.
2578	VILCONF S.R.L.
1377	CATRIA CONFEZIONI S.P.A.
1499	SICIM S.R.L.
540	MAGL.DYNAMICO S.R.L.
2127	G.INGLESE S.R.L.S.
1026	WP ITALIA SRL
1389	STILL 95 S.R.L.
2359	STEFANO RICCI SPA
1994	MANI DEL SUD S.R.L.S.
1254	LIVIANA CONTI SRL
2074	ABRAHAM INDUSTRIES S.R.L.
1323	BEAUMONT SRL
1674	VETTORELLO FAUSTO
1776	ITALBIMBI SNC DI G.SORDI & C.
639	MARO'S S.P.A.
1137	SOBER ITALIA SRL
2142	DENIM PEOPLE SRL
1504	STYLE S.R.L.
1336	CREAZIONI DUEBI SAS
999	LATINO S.N.C. di Busolo Vilma & C.
2491	BLUE LINE EVOLUTION SRL
1116	MANIFATTURE DEL NEVOLA S.R.L.
2419	WAYCAP FACTORY SRL
2267	FACTORYCAP SRL
1946	DERNAMARIA S.R.L. UNIPERSONALE
1208	DORIA SERVICE S.R.L.
2045	ALMATEX 1972 S.R.L. SOCIETA' UNIPERSONAL
1786	M.I.B. MANIF.IN BASSANO DI ZANCHETTA M.
2532	"SABRY" MAGLIERIA S.R.L.
2019	ROMITO MANIFATTURE S.R.L.
2245	S.G.L. S.R.L.
2608	MAGLIF. VELA BLU DI COLUMELLA FILOMENA
1792	GIMA S.R.L.
1964	DUALPLAST SRL
2470	GAB GROUP S.R.L.
1744	POLARIS SRL
2367	DENIM S.R.L. SOCIO UNICO
1543	LUCIANO BARBETTA S.R.L.
2124	AEQUUS S.R.L.
1444	INCOM SPA
150	GUICONF S.R.L. - IN LIQUIDAZIONE
1932	CINELLISTUDIO S.R.L.
1453	STILMAN S.R.L.
1383	F.A.O. S.R.L.
1933	ELLE-EMME SRL
1202	PUNTO SPORT S.N.C.di PROCH G.e GRAZZI S.
1606	ELLE 5 S.R.L.
1669	SANT'AGATA CONFEZIONI SOC.COOP.
2216	MAGLIFICIO CAPELLI SRL
1651	TAMAN-FASHION CONFEZIONI SRL
1220	BARONI SPA
802	TRACKS s.r.l.
2291	GIAMP SRL
1407	GECONF S.R.L.
1281	CONFEZIONI MODI SPA
1463	PERCONFEZIONI S.R.L.
1375	MAGLIFICIO DA-NI SRL
1910	POLLINI S.P.A.
2459	MAXLINGE DI GIORGI FABRIZIO
1328	COTONIFICIO CARLO BONOMI SPA
1549	SARTORIE VICENTINE S.R.L.
1826	F.& F. SRL
2625	ESSETEX INTERNI SRL
2047	OTS S.R.L.
2297	MAX MODA SRL
2119	POVOLO S.R.L.
2043	GALLO TESSILE S.R.L.
2398	VIELLE SRL
2651	SARTO SRL
1564	MADE FOR CHINA S.R.L.
1879	WHITE SRL
1967	V.B.M. CONFEZIONI SNC
2239	D.A.T.E. SRL
2461	CONFEZIONI SIMMY S.R.L.
1882	MOORER S.P.A.
2654	MAISON ZILLI ITALI SRL
2563	BB SRL
2546	AUDES GROUP S.R.L.
2082	HADAM'S CREAZIONI S.R.L.
1973	BATTISTELLA SPA IND. MOBILI
1646	BORGOVENETO S.R.L.
2205	STELLA MCCARTNEY ITALIA S.R.L.
582	NUOVA CONFEZIONE S.R.L.
2309	B.Z. SRL A SOCIO UNICO
2473	D'AVANT - GARDE TRICOT S.R.L.
2137	REBBY CLOTHING SERVICE S.N.C. DI REBESCO
1917	ALLEGRINI CONFEZIONI S.R.L.
2574	SARTORIA ALLEGRINI SRLS
2664	CGM SRL
1998	ITALPRODUZIONI SRL UNIP.
1987	AMARANTA S.R.L.
2351	MA.RI.IT. SRL
2507	ARABA FENICE S.R.L. UNIPERSONALE
2371	TWICE SAS DI LIDIA ZORZI E C.
1417	MARITEX S.R.L.
2006	ARBPRO SRL UNIPERS.
930	MAGL.MILES S.P.A socio unico
2426	FBS S.R.L.
2246	ELSAMANDA SRL
2318	MANIFATTURA PAOLONI SPA
444	SELENIS SRL DI BATTAGLIA T. & C.
1223	TREMILA SRL
2471	RIBKNIT SERVICE SRL
1891	MAGLIFICIO TIELLE DI TARTAGLIA LORENA
2391	OPACO S.R.L.S.
1893	AZADORA S.R.L.
901	FGF INDUSTRY SPA
1508	COUTURE & COUTURE S.R.L.
2109	ETHICA S.R.L. UNIPERSONALE
1380	CONFEZIONI RAFFAELLA S.R.L.
446	GIADA S.P.A.
2188	BLUE SERVICE S.R.L.
2656	GIADA S.R.L.
2073	EREBUS SRL
607	TINTESS S.P.A.
2126	ROBERTO CORPINA SRL A SOCIO UNICO
1925	REHARD DISTRIBUZIONE S.R.L.
1686	OKIELLO SRL
1400	LEATHER'S LAB S.R.L.
2354	LEATHER'S LAB 21 S.R.L.
2041	CIEFFE SRL
2042	ANDREA BERTOLLO
2284	IV.AL. SRL
1071	ZANUSO S.R.L.
648	TAM & COMPANY S.P.A.
2567	LA FABBRICA SRL
17	MAGL. MARTA CAROLLO SRL
1777	STYLAB S.R.L.
53	FUN FACTORY S.A.S. di Crivellaro D. & C.
1800	IANUX INDUSTRY S.R.L. UNIPERSONALE
1838	UOMO PIU' ITALIA S.R.L.
1404	EMMEPI ITALIA S.R.L.
1412	GIMO'S ITALIANA SPA
2235	OLIMPIA S.R.L.
2497	RAIPAN S.R.L.
2424	NEW ESSE MAGLIERIA S.R.L.
474	TON CONFEZIONI S.N.C.DI TON T.&C.
2279	SLAM JAM S.R.L. UNIPERSONALE
2274	V.P. SHOES SRL
2571	MAGLIFICIO GI.CI.PI. SAS
2396	STORI B&C SRL
2370	SIAP SRL
1960	C.I.T. SPA
2413	BASE 34 SRL
2572	AIRONE S.R.L.
2549	INLIMITED S.R.L.
2579	MAGL. ORMA SNC DI BATTOCCHIO M. & C..
1789	PESPOW S.P.A.
2483	MINDSTREAM DI ZACCANTI ELISA
2460	APACHE FACTORY SRL
2401	IDEE PER IL TESSILE SRL
2519	ZAC FASHION SRL
2353	DNA S.R.L.
2441	GEVA MODA S.R.L.
2557	ABRAX SRL
2480	RGB S.R.L. SOCIETA' BENEFIT
2416	G.T.M. GRUPPO TESSILE MOLISANO SRL
1647	I.CO.MAN 2000 SRL
1764	0909 SRL
1617	TELAROSA S.R.L.
1943	CAMICIERIA E.MAFFEIS SRL
820	CREAZIONI MARIA ROSA S.R.L.
2326	BUBE CLOTHING COMPANY SRL
1698	BFC S.R.L.
1923	CAMICERIA SCAPIN S.R.L.
2102	STP S.R.L.
2243	TRAIANO S.R.L.
757	FORALL CONFEZIONI S.P.A.
2515	FORINT S.P.A.
2404	RAW LEATHER CO S.R.L.
2381	MOLO 2 SRL
1215	PENTA-MAGLIA SNC DI GOTTARDO &C.
2452	ANIMO SRL
2101	MAGLIFICIO MARILINA S.R.L.
2256	STYLE SRL
2262	CIEMMECI FASHION S.R.L.
2260	WOOL STREET S.R.L.
2255	CO.CIN.ELLA S.R.L.
2244	FENICE SRLS
2502	BEL TESSILE SRLS
1821	OPIFICIO SPORTIVO DI TURATO COSTANTINO
2447	MONNALISA SPA
592	IDEAL BLUE MANIFATTURE SPA
2034	INCOM SPA INDUSTRIA CONF MODERNE
1888	INTERNATIONAL PROMO STUDIO SRL
2610	INTERNATIONAL PROMO STUDIO SRL
2030	D-B GROUP S.R.L.
2031	BLOCKINDUSTRIE S.R.L.
2024	NAVY COUTURE S.R.L.
2008	TRIVENETO MODA S.R.L.
1475	MANIFATTURE DI FILOTTRANO S.R.L.
1317	CONFEZIONI BENETTI S.R.L.
2053	GOLDKNIT S.A.S. CONFEZIONI MAGLIERIA
1793	PRIMO SRL
443	GALLIA CONFEZIONI S.R.L.
1228	KINGS SERVICE SRL
